GapStart,GapEnd,DurationMinutes
2014-03-08 13:37,2014-03-08 13:39,2
2014-03-08 13:53,2014-03-08 13:55,2
2014-03-16 14:36,2014-03-16 14:38,2
2014-03-19 07:19,2014-03-19 07:27,8
2014-03-22 19:04,2014-03-22 19:22,18
2014-03-23 19:08,2014-03-23 19:15,7
2014-03-30 01:59,2014-03-30 03:00,61
2014-04-02 21:30,2014-04-02 21:32,2
2014-04-06 22:02,2014-04-06 22:04,2
2014-04-12 15:06,2014-04-12 15:08,2
2014-04-12 15:09,2014-04-12 15:11,2
2014-04-14 13:15,2014-04-14 13:17,2
2014-04-27 14:46,2014-04-27 15:03,17
2014-04-29 15:52,2014-04-29 16:09,17
2014-05-09 07:03,2014-05-09 07:07,4
2014-05-14 20:53,2014-05-14 21:07,14
2014-05-18 12:31,2014-05-18 12:46,15
2014-05-18 13:01,2014-05-18 13:27,26
2014-05-19 13:00,2014-05-19 13:02,2
2014-05-19 13:07,2014-05-19 13:09,2
2014-05-24 07:08,2014-05-24 07:13,5
2014-05-24 09:29,2014-05-24 10:12,43
2014-05-24 11:57,2014-05-24 12:12,15
2014-05-27 22:20,2014-05-28 07:00,520
2014-05-29 07:02,2014-05-29 07:20,18
2014-06-01 18:35,2014-06-01 18:37,2
2014-06-01 18:38,2014-06-01 18:40,2
2014-06-01 19:41,2014-06-01 19:43,2
2014-06-02 13:42,2014-06-02 13:44,2
2014-06-03 06:47,2014-06-03 07:01,14
2014-06-04 13:25,2014-06-04 13:27,2
2014-06-07 12:24,2014-06-07 12:31,7
2014-06-08 10:49,2014-06-08 11:06,17
2014-06-21 15:17,2014-06-21 15:25,8
2014-06-21 20:26,2014-06-21 20:35,9
2014-06-24 02:41,2014-06-24 03:00,19
2014-06-24 03:30,2014-06-24 03:46,16
2014-06-24 23:04,2014-06-24 23:19,15
2014-06-24 23:34,2014-06-24 23:43,9
2014-06-25 02:13,2014-06-25 07:30,317
2014-06-25 07:31,2014-06-25 07:33,2
2014-06-25 07:35,2014-06-25 07:37,2
2014-06-25 07:38,2014-06-25 07:40,2
2014-06-25 07:41,2014-06-25 07:43,2
2014-06-25 07:45,2014-06-25 07:47,2
2014-06-25 07:48,2014-06-25 07:50,2
2014-06-25 07:51,2014-06-25 07:53,2
2014-06-25 07:58,2014-06-25 08:00,2
2014-06-25 08:01,2014-06-25 08:03,2
2014-06-25 08:05,2014-06-25 08:07,2
2014-06-25 08:08,2014-06-25 08:10,2
2014-06-25 08:11,2014-06-25 08:13,2
2014-06-25 08:15,2014-06-25 08:17,2
2014-06-25 08:18,2014-06-25 08:20,2
2014-06-25 08:25,2014-06-25 08:27,2
2014-06-25 08:28,2014-06-25 08:30,2
2014-06-25 08:35,2014-06-25 08:37,2
2014-06-25 08:38,2014-06-25 08:40,2
2014-06-25 08:45,2014-06-25 08:47,2
2014-06-25 08:48,2014-06-25 08:50,2
2014-06-25 08:55,2014-06-25 08:57,2
2014-06-25 08:58,2014-06-25 09:00,2
2014-06-25 09:05,2014-06-25 09:07,2
2014-06-25 09:08,2014-06-25 09:10,2
2014-06-25 09:15,2014-06-25 09:17,2
2014-06-25 09:18,2014-06-25 09:20,2
2014-06-25 09:25,2014-06-25 09:27,2
2014-06-25 09:28,2014-06-25 09:30,2
2014-06-25 09:35,2014-06-25 09:37,2
2014-06-25 09:38,2014-06-25 09:40,2
2014-06-25 09:42,2014-06-25 09:44,2
2014-06-25 09:45,2014-06-25 09:47,2
2014-06-25 09:52,2014-06-25 09:54,2
2014-06-25 09:55,2014-06-25 09:57,2
2014-06-25 10:02,2014-06-25 10:04,2
