GapStart,GapEnd,DurationMinutes
2014-02-03 14:06,2014-02-03 14:24,18
2014-02-03 15:17,2014-02-03 15:41,24
2014-02-03 16:51,2014-02-03 17:24,33
2014-02-05 19:32,2014-02-05 19:34,2
2014-02-06 04:35,2014-02-06 18:13,818
2014-02-15 11:27,2014-02-15 11:51,24
2014-03-07 16:58,2014-03-07 17:05,7
2014-03-20 11:40,2014-03-21 18:35,1855
2014-03-24 07:19,2014-03-24 20:18,779
2014-03-30 01:59,2014-03-30 03:00,61
2014-05-19 16:51,2014-05-29 22:18,14727
2014-06-11 13:54,2014-06-11 13:59,5
2014-06-13 01:53,2014-06-26 18:27,19714
2014-06-26 18:32,2014-06-26 18:34,2
2014-06-26 18:40,2014-06-27 18:12,1412
2014-06-29 14:30,2014-06-29 14:42,12
2014-07-09 01:19,2014-07-09 01:21,2
2014-07-14 06:50,2014-07-15 06:57,1447
2014-07-21 13:36,2014-07-21 13:49,13
2014-07-28 15:45,2014-07-31 17:53,4448
2014-08-25 23:44,2014-08-26 09:37,593
2014-09-17 15:25,2014-09-17 23:47,502
2014-09-23 16:41,2014-09-23 17:08,27
2014-09-29 21:32,2014-09-29 21:46,14
2014-10-27 16:31,2014-10-27 16:33,2
2014-10-29 16:21,2014-10-29 16:27,6
2014-10-29 16:41,2014-10-29 16:45,4
2014-10-29 19:29,2014-10-29 19:36,7
2014-10-30 07:21,2014-10-30 07:28,7
2014-10-30 07:58,2014-10-30 08:04,6
