GapStart,GapEnd,DurationMinutes
2014-02-17 05:51,2014-02-17 20:59,908
2014-02-18 07:00,2014-02-19 07:08,1448
2014-03-13 20:36,2014-03-13 21:04,28
2014-03-22 20:43,2014-03-22 20:45,2
2014-03-30 01:59,2014-03-30 03:00,61
2014-04-09 23:05,2014-04-09 23:20,15
2014-04-13 19:40,2014-04-13 20:02,22
2014-04-25 22:31,2014-04-25 22:56,25
2014-05-11 16:50,2014-05-11 16:52,2
2014-05-11 16:57,2014-05-11 18:46,109
2014-06-03 16:29,2014-06-03 16:31,2
2014-06-06 21:35,2014-06-06 21:46,11
2014-06-12 20:07,2014-06-12 20:18,11
2014-07-05 21:13,2014-07-05 22:09,56
2014-08-01 21:27,2014-08-01 21:42,15
2014-08-10 02:34,2014-08-10 02:36,2
2014-08-29 17:22,2014-08-29 17:24,2
2014-09-04 18:16,2014-09-04 18:18,2
2014-09-04 18:20,2014-09-04 18:41,21
2014-09-11 19:35,2014-09-11 19:59,24
2014-09-24 22:36,2014-09-24 22:38,2
2014-10-04 20:29,2014-10-04 20:31,2
2014-10-05 08:59,2014-10-05 09:01,2
2014-10-20 11:49,2014-10-20 12:01,12
2014-10-22 19:34,2014-10-22 19:47,13
2014-10-30 21:40,2014-10-30 22:03,23
2014-11-04 20:58,2014-11-04 21:00,2
2014-11-08 10:41,2014-11-08 11:25,44
2014-11-29 19:16,2014-11-29 19:26,10
2014-12-16 23:30,2014-12-16 23:48,18
2015-01-04 19:08,2015-01-04 19:22,14
2015-01-22 15:20,2015-01-22 15:22,2
2015-01-22 15:25,2015-01-23 07:14,949
2015-01-27 08:34,2015-01-27 19:31,657
2015-02-09 21:11,2015-02-09 21:13,2
2015-03-10 22:58,2015-03-10 23:11,13
2015-03-28 08:08,2015-03-28 08:10,2
2015-03-28 08:13,2015-03-28 08:25,12
2015-03-29 01:59,2015-03-29 03:00,61
2015-05-12 22:11,2015-05-13 22:48,1477
2015-05-15 11:35,2015-05-15 11:47,12
2015-05-22 06:09,2015-05-22 06:21,12
2015-06-09 22:39,2015-06-09 22:51,12
